chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw,n_records,sample_id
CoNbSn,0.24246399999999999,3,1.0986122886681098,90.18342213333332,4.666666666666666,9.333333333333332,1674.36,-11.555555555555555,4.666666666666667,1.8133333333333335,1,TUDA/Tetragonally_distortion_cubic/Nb4Co4Sn4_#119_313.json
CoPt3,0.5550619999999999,2,0.5623351446188083,161.0469736,5.5,9.75,1973.0500000000002,-5.25,5.75,2.1799999999999997,1,TUDA/Tetragonally_distortion_cubic/Co1Pt3_#123_237.json
CoSbV,0.23566,3,1.0986122886681098,77.21160146666666,4.333333333333333,9.666666666666666,1618.2599999999998,-8.888888888888888,5.0,1.853333333333333,1,TUDA/Tetragonally_distortion_cubic/V4Co4Sb4_#119_316.json
CoSi,0.266324,2,0.6931471805599453,43.5090972,3.5,11.5,1727.5,-38.0,4.5,1.89,1,TUDA/Tetragonally_distortion_cubic/Co1Si1_#123_304.json
CoSn2Ta,0.24878000000000003,3,1.0397207708399179,119.3256191,5.0,10.5,1517.04,-7.5,4.5,1.825,1,TUDA/Tetragonally_distortion_cubic/Ta4Co4Sn8_#119_311.json
CoTi,0.28607000000000005,2,0.6931471805599453,53.4001472,4.0,6.5,1854.5,-28.0,4.5,1.71,1,TUDA/Tetragonally_distortion_cubic/Ti1Co1_#123_301.json
CoTi2,0.274773,2,0.6365141682948129,51.55579813333333,4.0,5.666666666666666,1883.3333333333333,-24.888888888888886,4.333333333333333,1.6533333333333333,1,TUDA/Tetragonally_distortion_cubic/Ti16Co8_#141_303.json
CoZr,0.2267,2,0.6931471805599453,75.0786972,4.5,6.5,1948.0,-41.0,4.5,1.605,1,TUDA/Tetragonally_distortion_cubic/Zr1Co1_#123_326.json
Cr3NPt,0.30253599999999997,3,0.9502705392332346,73.016076,4.0,8.6,1728.91,-71.2,5.8,2.06,1,TUDA/Tetragonally_distortion_cubic/Cr3Pt1N1_#123_297.json
CrGe,0.40171799999999996,2,0.6931471805599453,62.31348,4.0,10.0,1695.7,-18.5,5.0,1.835,1,TUDA/Tetragonally_distortion_cubic/Cr4Ge4_#19_281.json
CrGeRh,0.820813,3,1.0986122886681098,75.84415399999999,4.333333333333333,9.666666666666666,1876.1333333333332,-27.11111111111111,5.333333333333333,1.983333333333333,1,TUDA/Tetragonally_distortion_cubic/Cr4Ge4Rh4_#119_152.json
CrH2,0.5966389999999999,2,0.6365141682948129,18.004053333333335,2.0,2.6666666666666665,735.9933333333333,-24.888888888888886,2.6666666666666665,2.02,1,TUDA/Tetragonally_distortion_cubic/Cr4H8_#139_230.json
CrHgNi2,0.7498659999999999,3,1.0397207708399179,92.49383499999999,4.5,9.5,1467.58025,5.75,4.5,1.8699999999999999,1,TUDA/Tetragonally_distortion_cubic/Cr4Ni8Hg4_#119_181.json
CrMnRe,0.8486735,3,1.0986122886681098,97.7137681,4.666666666666666,6.666666666666666,2386.0,-1.3333333333333333,6.666666666666666,1.7033333333333331,2,
CrN,1.62044,2,0.6931471805599453,33.001580000000004,3.0,10.5,1121.575,-107.0,5.5,2.35,1,TUDA/Tetragonally_distortion_cubic/Cr2N2_#59_29.json
CrNbW,0.236499,3,1.0986122886681098,109.58117733333333,5.0,5.666666666666666,2875.0,-6.222222222222221,5.666666666666666,1.8733333333333333,1,TUDA/Tetragonally_distortion_cubic/Nb4Cr4W4_#119_315.json
CrPd2Sr,0.656791,3,1.0397207708399179,88.11479,4.75,7.0,1721.525,-26.25,4.0,1.7525000000000002,1,TUDA/Tetragonally_distortion_cubic/Sr4Cr4Pd8_#119_216.json
CrPd3,0.5634279999999999,2,0.5623351446188083,92.81479000000002,4.75,9.0,1916.0375,-11.25,4.5,2.065,1,TUDA/Tetragonally_distortion_cubic/Cr1Pd3_#123_235.json
CrPt3,0.5204179999999999,2,0.5623351446188083,159.312715,5.5,9.0,2076.05,-18.0,6.0,2.125,1,TUDA/Tetragonally_distortion_cubic/Cr1Pt3_#123_241.json
CrRh2Sr,0.5412100000000001,3,1.0397207708399179,86.35704100000001,4.75,6.5,1926.0,-5.75,5.0,1.7925,1,TUDA/Tetragonally_distortion_cubic/Sr4Cr4Rh8_#139_238.json
CrRh3,0.289054,2,0.5623351446188083,90.1781665,4.75,8.25,2222.75,-9.75,6.0,2.125,1,TUDA/Tetragonally_distortion_cubic/Cr1Rh3_#123_299.json
CrRu2Si,0.449829,3,1.0397207708399179,70.55629,4.25,9.0,2270.25,-34.25,6.5,1.9900000000000002,1,TUDA/Tetragonally_distortion_cubic/Cr4Si4Ru8_#139_263.json
CrSi,0.23341,2,0.6931471805599453,40.040580000000006,3.5,10.0,1933.5,-37.0,5.0,1.7799999999999998,1,TUDA/Tetragonally_distortion_cubic/Cr4Si4_#19_321.json
Cu2FeSn,0.559192,3,1.0397207708399179,75.412125,4.25,11.0,1257.905,12.75,4.5,1.8975,1,TUDA/Tetragonally_distortion_cubic/Fe4Cu8Sn4_#139_236.json
